,precision,recall,f1-score,support
AnnualCrop,0.9887133182844243,0.9584245076586433,0.9733333333333334,457.0
Forest,0.9913978494623656,0.9935344827586207,0.9924650161463939,464.0
HerbaceousVegetation,0.928416485900217,0.9976689976689976,0.9617977528089887,429.0
Highway,0.9408450704225352,0.9823529411764705,0.9611510791366906,340.0
Industrial,0.9866666666666667,0.9946236559139785,0.9906291834002677,372.0
Pasture,0.9813084112149533,0.9603658536585366,0.9707241910631741,328.0
PermanentCrop,0.9750692520775623,0.9312169312169312,0.952638700947226,378.0
Residential,0.9977924944812362,0.9912280701754386,0.9944994499449945,456.0
River,0.9888579387186629,0.9673024523160763,0.977961432506887,367.0
SeaLake,0.9978118161925602,0.9934640522875817,0.9956331877729258,459.0
accuracy,0.9780246913580247,0.9780246913580247,0.9780246913580247,0.9780246913580247
macro avg,0.9776879303421182,0.9770181944831275,0.9770833327060883,4050.0
weighted avg,0.9786206878495741,0.9780246913580247,0.978056284353378,4050.0
