,precision,recall,f1-score,support
AnnualCrop,0.9913232104121475,0.9682203389830508,0.9796355841371919,472.0
Forest,0.995475113122172,0.995475113122172,0.995475113122172,442.0
HerbaceousVegetation,0.9619450317124736,0.9934497816593887,0.9774436090225563,458.0
Highway,0.9605911330049262,0.9974424552429667,0.9786700125470514,391.0
Industrial,0.9894736842105263,0.9947089947089947,0.9920844327176781,378.0
Pasture,0.9899665551839465,0.9899665551839465,0.9899665551839465,299.0
PermanentCrop,0.9783783783783784,0.9551451187335093,0.9666221628838452,379.0
Residential,0.9977578475336323,0.9888888888888889,0.9933035714285714,450.0
River,0.9945504087193461,0.9733333333333334,0.9838274932614556,375.0
SeaLake,0.9950738916256158,0.9950738916256158,0.9950738916256158,406.0
accuracy,0.9851851851851852,0.9851851851851852,0.9851851851851852,0.9851851851851852
macro avg,0.9854535253903165,0.9851704471481867,0.9852102425930085,4050.0
weighted avg,0.9853926927260855,0.9851851851851852,0.9851843891276902,4050.0
